Mf af
243.562560 0.694779
233.565859 0.663480
276.757736 0.795458
255.656964 0.641190
268.172834 0.782079
231.008212 0.631200
258.220145 0.748982
264.228410 0.734037
271.031621 0.753754
276.468062 0.784334
293.485524 0.780617
268.990801 0.810329
286.267073 0.793595
266.438855 0.785037
257.277116 0.740263
256.786342 0.702326
231.567000 0.565618
261.059250 0.744354
281.732143 0.802450
276.714777 0.819723
269.269671 0.757253
279.063108 0.814478
254.218810 0.657297
265.940093 0.701800
233.516118 0.644892
252.952699 0.718254
252.149609 0.780703
256.332228 0.732551
261.026326 0.744677
248.988785 0.717279
274.166788 0.798254
231.257084 0.618903
274.582536 0.766670
264.742517 0.820107
271.713892 0.766200
274.852719 0.817764
239.893485 0.649106
255.595130 0.809772
255.970367 0.735056
251.157442 0.656394
246.909050 0.693660
251.136698 0.759065
280.048015 0.762735
270.083726 0.765809
248.422356 0.657277
279.991372 0.797649
276.530138 0.812887
281.191641 0.795732
250.400513 0.830765
268.089449 0.733365
267.304808 0.738959
264.718422 0.755568
250.263979 0.691648
270.807428 0.773187
254.024387 0.793891
271.952928 0.808616
272.223756 0.762831
246.181457 0.784530
269.991113 0.755412
273.460064 0.758280
261.816930 0.769978
238.526245 0.640122
282.600463 0.785766
249.724785 0.661186
268.980955 0.791589
265.778908 0.752726
238.946621 0.636597
281.498988 0.826524
244.194212 0.647267
228.721096 0.625944
284.218844 0.802758
258.277484 0.729523
241.141121 0.618740
272.753315 0.812054
269.582461 0.736476
281.738225 0.795322
269.300971 0.728309
262.682219 0.772351
270.670769 0.772323
252.664458 0.730024
243.707670 0.674945
255.767765 0.695738
261.955632 0.760059
234.393563 0.636923
234.658578 0.577765
247.487839 0.684347
251.824953 0.710097
263.654640 0.727546
221.653467 0.627566
258.914466 0.719293
271.267736 0.769043
241.289228 0.679960
272.622786 0.720613
245.422344 0.612222
235.582984 0.625261
283.661835 0.830136
275.508663 0.803608
273.625354 0.706984
254.786255 0.748093
295.805711 0.821306
221.681644 0.437078
241.495803 0.681056
277.958480 0.723871
271.420244 0.751938
263.177917 0.754421
253.908750 0.638556
249.094793 0.667888
247.633542 0.719809
276.028243 0.815386
257.471508 0.669608
259.630092 0.669848
250.954131 0.688629
259.983746 0.792548
241.462264 0.676724
284.054653 0.800907
229.458384 0.546763
247.739629 0.688998
245.285899 0.703269
256.296974 0.656159
229.663845 0.638043
279.817318 0.765450
269.056709 0.793122
270.094959 0.762797
252.113897 0.707619
267.473650 0.741223
278.513600 0.794903
234.140909 0.599447
276.439832 0.828795
285.699163 0.801282
230.264268 0.572651
247.074163 0.655947
242.060637 0.606535
265.954199 0.796685
259.626888 0.711295
262.097463 0.687325
236.764672 0.638376
270.810978 0.766112
